COUNTRY	Burkina_Faso	Cape_Verde	Dominican_Republic	Fiji	Honduras	Namibia	albania	angola	arab-emirates	argentina	australia	austria	bangladesh	belgium	bhutan	brazil	bulgaria	canada	chile	china	colombia	costa-rica	croatia	czech-republic	denmark	ecuador	egypt	el-salvador	estonia	ethiopia	finland	france	germany	ghana	greece	guatemala	hong-kong	hungary	iceland	india	indonesia	iran	iraq	ireland	israel	italy	jamaica	japan	jordan	kenya	kuwait	latvia	lebanon	libya	lithuania	luxemburg	malawi	malaysia	malta	mexico	morocco	mozambique	nepal	netherlands	new-zealand	nigeria	norway	pakistan	panama	peru	philippines	poland	portugal	romania	russia	saudi-arabia	senegal	serbia	sierra-leone	singapore	slovakia	slovenia	south-africa	south-korea	spain	sri_lanka	surinam	sweden	switzerland	syria	taiwan	tanzania	thailand	trinidad	turkey	ukraine	united-kingdom	united-states	uruguay	venezuela	vietnam	zambia
france	4.73	3.55	2.37	5.07	3.55	2.37	3.55	3.94	2.84	1.54	0.79	1.29	3.55	0.95	1.37	1.87	2.37	0.89	3.09	3.55	5.46	4.73	2.15	1.22	0.96	8.88	2.84	3.74	1.18	3.55	1.13	1.00	1.06	4.73	2.03	11.83	2.84	0.89	1.18	1.48	5.07	1.73	2.37	1.01	1.31	0.93	1.82	1.54	2.37	2.84	2.84	1.01	1.77	1.87	1.18	1.18	2.37	2.73	1.20	2.37	1.54	4.73	2.37	0.89	0.90	2.37	1.03	5.07	6.45	4.44	2.22	1.18	2.63	2.37	1.82	2.84	2.84	2.84	3.55	3.55	1.37	2.63	1.09	3.94	1.39	2.03	1.51	1.00	1.04	2.03	4.18	2.84	3.55	4.44	1.92	2.84	0.80	0.78	1.97	5.92	3.55	2.03
germany	4.47	3.35	2.23	4.79	3.35	2.23	3.35	3.72	2.68	1.46	0.74	1.22	3.35	0.89	1.29	1.76	2.23	0.84	2.91	3.35	5.15	4.47	2.03	1.16	0.91	8.38	2.68	3.53	1.12	3.35	1.06	0.94	1.00	4.47	1.91	11.17	2.68	0.84	1.12	1.40	4.79	1.63	2.23	0.96	1.24	0.88	1.72	1.46	2.23	2.68	2.68	0.96	1.68	1.76	1.12	1.12	2.23	2.58	1.14	2.23	1.46	4.47	2.23	0.84	0.85	2.23	0.97	4.79	6.09	4.19	2.09	1.12	2.48	2.23	1.72	2.68	2.68	2.68	3.35	3.35	1.29	2.48	1.03	3.72	1.31	1.91	1.43	0.94	0.99	1.91	3.94	2.68	3.35	4.19	1.81	2.68	0.75	0.74	1.86	5.58	3.35	1.91
ghana	1.00	0.75	0.50	1.07	0.75	0.50	0.75	0.83	0.60	0.33	0.17	0.27	0.75	0.20	0.29	0.39	0.50	0.19	0.65	0.75	1.15	1.00	0.45	0.26	0.20	1.88	0.60	0.79	0.25	0.75	0.24	0.21	0.22	1.00	0.43	2.50	0.60	0.19	0.25	0.31	1.07	0.37	0.50	0.21	0.28	0.20	0.38	0.33	0.50	0.60	0.60	0.21	0.38	0.39	0.25	0.25	0.50	0.58	0.25	0.50	0.33	1.00	0.50	0.19	0.19	0.50	0.22	1.07	1.36	0.94	0.47	0.25	0.56	0.50	0.38	0.60	0.60	0.60	0.75	0.75	0.29	0.56	0.23	0.83	0.29	0.43	0.32	0.21	0.22	0.43	0.88	0.60	0.75	0.94	0.41	0.60	0.17	0.16	0.42	1.25	0.75	0.43
greece	2.33	1.75	1.17	2.50	1.75	1.17	1.75	1.94	1.40	0.76	0.39	0.64	1.75	0.47	0.67	0.92	1.17	0.44	1.52	1.75	2.69	2.33	1.06	0.60	0.47	4.38	1.40	1.84	0.58	1.75	0.56	0.49	0.52	2.33	1.00	5.83	1.40	0.44	0.58	0.73	2.50	0.85	1.17	0.50	0.65	0.46	0.90	0.76	1.17	1.40	1.40	0.50	0.88	0.92	0.58	0.58	1.17	1.35	0.59	1.17	0.76	2.33	1.17	0.44	0.44	1.17	0.51	2.50	3.18	2.19	1.09	0.58	1.30	1.17	0.90	1.40	1.40	1.40	1.75	1.75	0.67	1.30	0.54	1.94	0.69	1.00	0.74	0.49	0.51	1.00	2.06	1.40	1.75	2.19	0.95	1.40	0.39	0.38	0.97	2.92	1.75	1.00
guatemala	0.40	0.30	0.20	0.43	0.30	0.20	0.30	0.33	0.24	0.13	0.07	0.11	0.30	0.08	0.12	0.16	0.20	0.07	0.26	0.30	0.46	0.40	0.18	0.10	0.08	0.75	0.24	0.32	0.10	0.30	0.10	0.08	0.09	0.40	0.17	1.00	0.24	0.07	0.10	0.12	0.43	0.15	0.20	0.09	0.11	0.08	0.15	0.13	0.20	0.24	0.24	0.09	0.15	0.16	0.10	0.10	0.20	0.23	0.10	0.20	0.13	0.40	0.20	0.07	0.08	0.20	0.09	0.43	0.55	0.38	0.19	0.10	0.22	0.20	0.15	0.24	0.24	0.24	0.30	0.30	0.12	0.22	0.09	0.33	0.12	0.17	0.13	0.08	0.09	0.17	0.35	0.24	0.30	0.38	0.16	0.24	0.07	0.07	0.17	0.50	0.30	0.17
hong-kong	1.67	1.25	0.83	1.79	1.25	0.83	1.25	1.39	1.00	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	0.31	1.09	1.25	1.92	1.67	0.76	0.43	0.34	3.12	1.00	1.32	0.42	1.25	0.40	0.35	0.37	1.67	0.71	4.17	1.00	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	0.28	0.27	0.69	2.08	1.25	0.71
hungary	5.33	4.00	2.67	5.71	4.00	2.67	4.00	4.44	3.20	1.74	0.89	1.45	4.00	1.07	1.54	2.11	2.67	1.00	3.48	4.00	6.15	5.33	2.42	1.38	1.08	10.00	3.20	4.21	1.33	4.00	1.27	1.13	1.19	5.33	2.29	13.33	3.20	1.00	1.33	1.67	5.71	1.95	2.67	1.14	1.48	1.05	2.05	1.74	2.67	3.20	3.20	1.14	2.00	2.11	1.33	1.33	2.67	3.08	1.36	2.67	1.74	5.33	2.67	1.00	1.01	2.67	1.16	5.71	7.27	5.00	2.50	1.33	2.96	2.67	2.05	3.20	3.20	3.20	4.00	4.00	1.54	2.96	1.23	4.44	1.57	2.29	1.70	1.13	1.18	2.29	4.71	3.20	4.00	5.00	2.16	3.20	0.90	0.88	2.22	6.67	4.00	2.29
iceland	4.00	3.00	2.00	4.29	3.00	2.00	3.00	3.33	2.40	1.30	0.67	1.09	3.00	0.80	1.15	1.58	2.00	0.75	2.61	3.00	4.62	4.00	1.82	1.03	0.81	7.50	2.40	3.16	1.00	3.00	0.95	0.85	0.90	4.00	1.71	10.00	2.40	0.75	1.00	1.25	4.29	1.46	2.00	0.86	1.11	0.79	1.54	1.30	2.00	2.40	2.40	0.86	1.50	1.58	1.00	1.00	2.00	2.31	1.02	2.00	1.30	4.00	2.00	0.75	0.76	2.00	0.87	4.29	5.45	3.75	1.88	1.00	2.22	2.00	1.54	2.40	2.40	2.40	3.00	3.00	1.15	2.22	0.92	3.33	1.18	1.71	1.28	0.85	0.88	1.71	3.53	2.40	3.00	3.75	1.62	2.40	0.67	0.66	1.67	5.00	3.00	1.71
india	3.20	2.40	1.60	3.43	2.40	1.60	2.40	2.67	1.92	1.04	0.53	0.87	2.40	0.64	0.92	1.26	1.60	0.60	2.09	2.40	3.69	3.20	1.45	0.83	0.65	6.00	1.92	2.53	0.80	2.40	0.76	0.68	0.72	3.20	1.37	8.00	1.92	0.60	0.80	1.00	3.43	1.17	1.60	0.69	0.89	0.63	1.23	1.04	1.60	1.92	1.92	0.69	1.20	1.26	0.80	0.80	1.60	1.85	0.81	1.60	1.04	3.20	1.60	0.60	0.61	1.60	0.70	3.43	4.36	3.00	1.50	0.80	1.78	1.60	1.23	1.92	1.92	1.92	2.40	2.40	0.92	1.78	0.74	2.67	0.94	1.37	1.02	0.68	0.71	1.37	2.82	1.92	2.40	3.00	1.30	1.92	0.54	0.53	1.33	4.00	2.40	1.37
indonesia	0.93	0.70	0.47	1.00	0.70	0.47	0.70	0.78	0.56	0.30	0.16	0.25	0.70	0.19	0.27	0.37	0.47	0.17	0.61	0.70	1.08	0.93	0.42	0.24	0.19	1.75	0.56	0.74	0.23	0.70	0.22	0.20	0.21	0.93	0.40	2.33	0.56	0.17	0.23	0.29	1.00	0.34	0.47	0.20	0.26	0.18	0.36	0.30	0.47	0.56	0.56	0.20	0.35	0.37	0.23	0.23	0.47	0.54	0.24	0.47	0.30	0.93	0.47	0.17	0.18	0.47	0.20	1.00	1.27	0.88	0.44	0.23	0.52	0.47	0.36	0.56	0.56	0.56	0.70	0.70	0.27	0.52	0.22	0.78	0.27	0.40	0.30	0.20	0.21	0.40	0.82	0.56	0.70	0.88	0.38	0.56	0.16	0.15	0.39	1.17	0.70	0.40
iran	2.73	2.05	1.37	2.93	2.05	1.37	2.05	2.28	1.64	0.89	0.46	0.75	2.05	0.55	0.79	1.08	1.37	0.51	1.78	2.05	3.15	2.73	1.24	0.71	0.55	5.12	1.64	2.16	0.68	2.05	0.65	0.58	0.61	2.73	1.17	6.83	1.64	0.51	0.68	0.85	2.93	1.00	1.37	0.59	0.76	0.54	1.05	0.89	1.37	1.64	1.64	0.59	1.02	1.08	0.68	0.68	1.37	1.58	0.69	1.37	0.89	2.73	1.37	0.51	0.52	1.37	0.59	2.93	3.73	2.56	1.28	0.68	1.52	1.37	1.05	1.64	1.64	1.64	2.05	2.05	0.79	1.52	0.63	2.28	0.80	1.17	0.87	0.58	0.60	1.17	2.41	1.64	2.05	2.56	1.11	1.64	0.46	0.45	1.14	3.42	2.05	1.17
iraq	2.00	1.50	1.00	2.14	1.50	1.00	1.50	1.67	1.20	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	0.38	1.30	1.50	2.31	2.00	0.91	0.52	0.41	3.75	1.20	1.58	0.50	1.50	0.48	0.42	0.45	2.00	0.86	5.00	1.20	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	0.34	0.33	0.83	2.50	1.50	0.86
ireland	4.67	3.50	2.33	5.00	3.50	2.33	3.50	3.89	2.80	1.52	0.78	1.27	3.50	0.93	1.35	1.84	2.33	0.88	3.04	3.50	5.38	4.67	2.12	1.21	0.95	8.75	2.80	3.68	1.17	3.50	1.11	0.99	1.04	4.67	2.00	11.67	2.80	0.88	1.17	1.46	5.00	1.71	2.33	1.00	1.30	0.92	1.79	1.52	2.33	2.80	2.80	1.00	1.75	1.84	1.17	1.17	2.33	2.69	1.19	2.33	1.52	4.67	2.33	0.88	0.89	2.33	1.01	5.00	6.36	4.38	2.19	1.17	2.59	2.33	1.79	2.80	2.80	2.80	3.50	3.50	1.35	2.59	1.08	3.89	1.37	2.00	1.49	0.99	1.03	2.00	4.12	2.80	3.50	4.38	1.89	2.80	0.79	0.77	1.94	5.83	3.50	2.00
israel	3.60	2.70	1.80	3.86	2.70	1.80	2.70	3.00	2.16	1.17	0.60	0.98	2.70	0.72	1.04	1.42	1.80	0.68	2.35	2.70	4.15	3.60	1.64	0.93	0.73	6.75	2.16	2.84	0.90	2.70	0.86	0.76	0.81	3.60	1.54	9.00	2.16	0.68	0.90	1.12	3.86	1.32	1.80	0.77	1.00	0.71	1.38	1.17	1.80	2.16	2.16	0.77	1.35	1.42	0.90	0.90	1.80	2.08	0.92	1.80	1.17	3.60	1.80	0.68	0.68	1.80	0.78	3.86	4.91	3.38	1.69	0.90	2.00	1.80	1.38	2.16	2.16	2.16	2.70	2.70	1.04	2.00	0.83	3.00	1.06	1.54	1.15	0.76	0.79	1.54	3.18	2.16	2.70	3.38	1.46	2.16	0.61	0.59	1.50	4.50	2.70	1.54
italy	5.07	3.80	2.53	5.43	3.80	2.53	3.80	4.22	3.04	1.65	0.84	1.38	3.80	1.01	1.46	2.00	2.53	0.95	3.30	3.80	5.85	5.07	2.30	1.31	1.03	9.50	3.04	4.00	1.27	3.80	1.21	1.07	1.13	5.07	2.17	12.67	3.04	0.95	1.27	1.58	5.43	1.85	2.53	1.09	1.41	1.00	1.95	1.65	2.53	3.04	3.04	1.09	1.90	2.00	1.27	1.27	2.53	2.92	1.29	2.53	1.65	5.07	2.53	0.95	0.96	2.53	1.10	5.43	6.91	4.75	2.38	1.27	2.81	2.53	1.95	3.04	3.04	3.04	3.80	3.80	1.46	2.81	1.17	4.22	1.49	2.17	1.62	1.07	1.12	2.17	4.47	3.04	3.80	4.75	2.05	3.04	0.85	0.84	2.11	6.33	3.80	2.17
jamaica	2.60	1.95	1.30	2.79	1.95	1.30	1.95	2.17	1.56	0.85	0.43	0.71	1.95	0.52	0.75	1.03	1.30	0.49	1.70	1.95	3.00	2.60	1.18	0.67	0.53	4.88	1.56	2.05	0.65	1.95	0.62	0.55	0.58	2.60	1.11	6.50	1.56	0.49	0.65	0.81	2.79	0.95	1.30	0.56	0.72	0.51	1.00	0.85	1.30	1.56	1.56	0.56	0.97	1.03	0.65	0.65	1.30	1.50	0.66	1.30	0.85	2.60	1.30	0.49	0.49	1.30	0.57	2.79	3.55	2.44	1.22	0.65	1.44	1.30	1.00	1.56	1.56	1.56	1.95	1.95	0.75	1.44	0.60	2.17	0.76	1.11	0.83	0.55	0.57	1.11	2.29	1.56	1.95	2.44	1.05	1.56	0.44	0.43	1.08	3.25	1.95	1.11
japan	3.07	2.30	1.53	3.29	2.30	1.53	2.30	2.56	1.84	1.00	0.51	0.84	2.30	0.61	0.88	1.21	1.53	0.57	2.00	2.30	3.54	3.07	1.39	0.79	0.62	5.75	1.84	2.42	0.77	2.30	0.73	0.65	0.69	3.07	1.31	7.67	1.84	0.57	0.77	0.96	3.29	1.12	1.53	0.66	0.85	0.61	1.18	1.00	1.53	1.84	1.84	0.66	1.15	1.21	0.77	0.77	1.53	1.77	0.78	1.53	1.00	3.07	1.53	0.57	0.58	1.53	0.67	3.29	4.18	2.88	1.44	0.77	1.70	1.53	1.18	1.84	1.84	1.84	2.30	2.30	0.88	1.70	0.71	2.56	0.90	1.31	0.98	0.65	0.68	1.31	2.71	1.84	2.30	2.88	1.24	1.84	0.52	0.51	1.28	3.83	2.30	1.31
jordan	2.00	1.50	1.00	2.14	1.50	1.00	1.50	1.67	1.20	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	0.38	1.30	1.50	2.31	2.00	0.91	0.52	0.41	3.75	1.20	1.58	0.50	1.50	0.48	0.42	0.45	2.00	0.86	5.00	1.20	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	0.34	0.33	0.83	2.50	1.50	0.86
kenya	1.67	1.25	0.83	1.79	1.25	0.83	1.25	1.39	1.00	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	0.31	1.09	1.25	1.92	1.67	0.76	0.43	0.34	3.12	1.00	1.32	0.42	1.25	0.40	0.35	0.37	1.67	0.71	4.17	1.00	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	0.28	0.27	0.69	2.08	1.25	0.71
kuwait	1.67	1.25	0.83	1.79	1.25	0.83	1.25	1.39	1.00	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	0.31	1.09	1.25	1.92	1.67	0.76	0.43	0.34	3.12	1.00	1.32	0.42	1.25	0.40	0.35	0.37	1.67	0.71	4.17	1.00	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	0.28	0.27	0.69	2.08	1.25	0.71
latvia	4.67	3.50	2.33	5.00	3.50	2.33	3.50	3.89	2.80	1.52	0.78	1.27	3.50	0.93	1.35	1.84	2.33	0.88	3.04	3.50	5.38	4.67	2.12	1.21	0.95	8.75	2.80	3.68	1.17	3.50	1.11	0.99	1.04	4.67	2.00	11.67	2.80	0.88	1.17	1.46	5.00	1.71	2.33	1.00	1.30	0.92	1.79	1.52	2.33	2.80	2.80	1.00	1.75	1.84	1.17	1.17	2.33	2.69	1.19	2.33	1.52	4.67	2.33	0.88	0.89	2.33	1.01	5.00	6.36	4.38	2.19	1.17	2.59	2.33	1.79	2.80	2.80	2.80	3.50	3.50	1.35	2.59	1.08	3.89	1.37	2.00	1.49	0.99	1.03	2.00	4.12	2.80	3.50	4.38	1.89	2.80	0.79	0.77	1.94	5.83	3.50	2.00
lebanon	2.67	2.00	1.33	2.86	2.00	1.33	2.00	2.22	1.60	0.87	0.44	0.73	2.00	0.53	0.77	1.05	1.33	0.50	1.74	2.00	3.08	2.67	1.21	0.69	0.54	5.00	1.60	2.11	0.67	2.00	0.63	0.56	0.60	2.67	1.14	6.67	1.60	0.50	0.67	0.83	2.86	0.98	1.33	0.57	0.74	0.53	1.03	0.87	1.33	1.60	1.60	0.57	1.00	1.05	0.67	0.67	1.33	1.54	0.68	1.33	0.87	2.67	1.33	0.50	0.51	1.33	0.58	2.86	3.64	2.50	1.25	0.67	1.48	1.33	1.03	1.60	1.60	1.60	2.00	2.00	0.77	1.48	0.62	2.22	0.78	1.14	0.85	0.56	0.59	1.14	2.35	1.60	2.00	2.50	1.08	1.60	0.45	0.44	1.11	3.33	2.00	1.14
libya	2.53	1.90	1.27	2.71	1.90	1.27	1.90	2.11	1.52	0.83	0.42	0.69	1.90	0.51	0.73	1.00	1.27	0.47	1.65	1.90	2.92	2.53	1.15	0.66	0.51	4.75	1.52	2.00	0.63	1.90	0.60	0.54	0.57	2.53	1.09	6.33	1.52	0.47	0.63	0.79	2.71	0.93	1.27	0.54	0.70	0.50	0.97	0.83	1.27	1.52	1.52	0.54	0.95	1.00	0.63	0.63	1.27	1.46	0.64	1.27	0.83	2.53	1.27	0.47	0.48	1.27	0.55	2.71	3.45	2.38	1.19	0.63	1.41	1.27	0.97	1.52	1.52	1.52	1.90	1.90	0.73	1.41	0.58	2.11	0.75	1.09	0.81	0.54	0.56	1.09	2.24	1.52	1.90	2.38	1.03	1.52	0.43	0.42	1.06	3.17	1.90	1.09
lithuania	4.00	3.00	2.00	4.29	3.00	2.00	3.00	3.33	2.40	1.30	0.67	1.09	3.00	0.80	1.15	1.58	2.00	0.75	2.61	3.00	4.62	4.00	1.82	1.03	0.81	7.50	2.40	3.16	1.00	3.00	0.95	0.85	0.90	4.00	1.71	10.00	2.40	0.75	1.00	1.25	4.29	1.46	2.00	0.86	1.11	0.79	1.54	1.30	2.00	2.40	2.40	0.86	1.50	1.58	1.00	1.00	2.00	2.31	1.02	2.00	1.30	4.00	2.00	0.75	0.76	2.00	0.87	4.29	5.45	3.75	1.88	1.00	2.22	2.00	1.54	2.40	2.40	2.40	3.00	3.00	1.15	2.22	0.92	3.33	1.18	1.71	1.28	0.85	0.88	1.71	3.53	2.40	3.00	3.75	1.62	2.40	0.67	0.66	1.67	5.00	3.00	1.71
luxemburg	4.00	3.00	2.00	4.29	3.00	2.00	3.00	3.33	2.40	1.30	0.67	1.09	3.00	0.80	1.15	1.58	2.00	0.75	2.61	3.00	4.62	4.00	1.82	1.03	0.81	7.50	2.40	3.16	1.00	3.00	0.95	0.85	0.90	4.00	1.71	10.00	2.40	0.75	1.00	1.25	4.29	1.46	2.00	0.86	1.11	0.79	1.54	1.30	2.00	2.40	2.40	0.86	1.50	1.58	1.00	1.00	2.00	2.31	1.02	2.00	1.30	4.00	2.00	0.75	0.76	2.00	0.87	4.29	5.45	3.75	1.88	1.00	2.22	2.00	1.54	2.40	2.40	2.40	3.00	3.00	1.15	2.22	0.92	3.33	1.18	1.71	1.28	0.85	0.88	1.71	3.53	2.40	3.00	3.75	1.62	2.40	0.67	0.66	1.67	5.00	3.00	1.71
malawi	2.00	1.50	1.00	2.14	1.50	1.00	1.50	1.67	1.20	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	0.38	1.30	1.50	2.31	2.00	0.91	0.52	0.41	3.75	1.20	1.58	0.50	1.50	0.48	0.42	0.45	2.00	0.86	5.00	1.20	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	0.34	0.33	0.83	2.50	1.50	0.86
malaysia	1.73	1.30	0.87	1.86	1.30	0.87	1.30	1.44	1.04	0.57	0.29	0.47	1.30	0.35	0.50	0.68	0.87	0.33	1.13	1.30	2.00	1.73	0.79	0.45	0.35	3.25	1.04	1.37	0.43	1.30	0.41	0.37	0.39	1.73	0.74	4.33	1.04	0.33	0.43	0.54	1.86	0.63	0.87	0.37	0.48	0.34	0.67	0.57	0.87	1.04	1.04	0.37	0.65	0.68	0.43	0.43	0.87	1.00	0.44	0.87	0.57	1.73	0.87	0.33	0.33	0.87	0.38	1.86	2.36	1.62	0.81	0.43	0.96	0.87	0.67	1.04	1.04	1.04	1.30	1.30	0.50	0.96	0.40	1.44	0.51	0.74	0.55	0.37	0.38	0.74	1.53	1.04	1.30	1.62	0.70	1.04	0.29	0.29	0.72	2.17	1.30	0.74
malta	3.93	2.95	1.97	4.21	2.95	1.97	2.95	3.28	2.36	1.28	0.66	1.07	2.95	0.79	1.13	1.55	1.97	0.74	2.57	2.95	4.54	3.93	1.79	1.02	0.80	7.38	2.36	3.11	0.98	2.95	0.94	0.83	0.88	3.93	1.69	9.83	2.36	0.74	0.98	1.23	4.21	1.44	1.97	0.84	1.09	0.78	1.51	1.28	1.97	2.36	2.36	0.84	1.48	1.55	0.98	0.98	1.97	2.27	1.00	1.97	1.28	3.93	1.97	0.74	0.75	1.97	0.86	4.21	5.36	3.69	1.84	0.98	2.19	1.97	1.51	2.36	2.36	2.36	2.95	2.95	1.13	2.19	0.91	3.28	1.16	1.69	1.26	0.83	0.87	1.69	3.47	2.36	2.95	3.69	1.59	2.36	0.66	0.65	1.64	4.92	2.95	1.69
mexico	2.00	1.50	1.00	2.14	1.50	1.00	1.50	1.67	1.20	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	0.38	1.30	1.50	2.31	2.00	0.91	0.52	0.41	3.75	1.20	1.58	0.50	1.50	0.48	0.42	0.45	2.00	0.86	5.00	1.20	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	0.34	0.33	0.83	2.50	1.50	0.86
morocco	3.07	2.30	1.53	3.29	2.30	1.53	2.30	2.56	1.84	1.00	0.51	0.84	2.30	0.61	0.88	1.21	1.53	0.57	2.00	2.30	3.54	3.07	1.39	0.79	0.62	5.75	1.84	2.42	0.77	2.30	0.73	0.65	0.69	3.07	1.31	7.67	1.84	0.57	0.77	0.96	3.29	1.12	1.53	0.66	0.85	0.61	1.18	1.00	1.53	1.84	1.84	0.66	1.15	1.21	0.77	0.77	1.53	1.77	0.78	1.53	1.00	3.07	1.53	0.57	0.58	1.53	0.67	3.29	4.18	2.88	1.44	0.77	1.70	1.53	1.18	1.84	1.84	1.84	2.30	2.30	0.88	1.70	0.71	2.56	0.90	1.31	0.98	0.65	0.68	1.31	2.71	1.84	2.30	2.88	1.24	1.84	0.52	0.51	1.28	3.83	2.30	1.31
mozambique	1.00	0.75	0.50	1.07	0.75	0.50	0.75	0.83	0.60	0.33	0.17	0.27	0.75	0.20	0.29	0.39	0.50	0.19	0.65	0.75	1.15	1.00	0.45	0.26	0.20	1.88	0.60	0.79	0.25	0.75	0.24	0.21	0.22	1.00	0.43	2.50	0.60	0.19	0.25	0.31	1.07	0.37	0.50	0.21	0.28	0.20	0.38	0.33	0.50	0.60	0.60	0.21	0.38	0.39	0.25	0.25	0.50	0.58	0.25	0.50	0.33	1.00	0.50	0.19	0.19	0.50	0.22	1.07	1.36	0.94	0.47	0.25	0.56	0.50	0.38	0.60	0.60	0.60	0.75	0.75	0.29	0.56	0.23	0.83	0.29	0.43	0.32	0.21	0.22	0.43	0.88	0.60	0.75	0.94	0.41	0.60	0.17	0.16	0.42	1.25	0.75	0.43
nepal	2.00	1.50	1.00	2.14	1.50	1.00	1.50	1.67	1.20	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	0.38	1.30	1.50	2.31	2.00	0.91	0.52	0.41	3.75	1.20	1.58	0.50	1.50	0.48	0.42	0.45	2.00	0.86	5.00	1.20	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	0.34	0.33	0.83	2.50	1.50	0.86
